,genres,n_genres,loss,accuracy
0,"hiphop, pop",3,0.3272030768381764,0.8759689927101135
1,"hiphop, country",3,0.17420106131296892,0.9353846311569214
2,"hiphop, rnb",3,0.6646894543015178,0.5628140568733215
3,"hiphop, latin",3,0.38113250896103024,0.8108808398246765
4,"hiphop, rock",3,0.6417319000541389,0.6590909361839294
5,"hiphop, edm_dance",3,0.2376940323730533,0.9078651666641235
6,"hiphop, indie_alt",3,0.6672394245648555,0.6151078939437866
7,"hiphop, classical",3,0.025531864840671267,0.990867555141449
8,"hiphop, jazz",3,0.14312068778171874,0.9605262875556946
9,"hiphop, soul",3,0.25757865018465304,0.8909090757369995
10,"hiphop, kpop",3,0.36256943298090855,0.866995096206665
11,"hiphop, reggae",3,0.5944609378839468,0.701298713684082
12,"hiphop, blues",3,0.2253525024753506,0.9322034120559692
13,"pop, country",3,0.33751109616476516,0.8704453706741333
14,"pop, rnb",3,0.5083555377219334,0.7520661354064941
15,"pop, latin",3,0.2507903916116285,0.9320388436317444
16,"pop, rock",3,0.25189411653124766,0.908695638179779
17,"pop, edm_dance",3,0.1853291023036708,0.9320651888847351
18,"pop, indie_alt",3,0.4149476816108571,0.8557214140892029
19,"pop, classical",3,0.25886906101432866,0.9279778599739075
20,"pop, jazz",3,0.18475153085017046,0.9271523356437683
21,"pop, soul",3,0.582095488049518,0.6896551847457886
22,"pop, kpop",3,0.5749957766532898,0.7440000176429749
23,"pop, reggae",3,0.5880268969033894,0.6842105388641357
24,"pop, blues",3,0.6118319034576416,0.699999988079071
25,"country, rnb",3,0.3732225582332641,0.8264984488487244
26,"country, latin",3,0.6889710118274878,0.5485148429870605
27,"country, rock",3,0.6917442066568724,0.5305164456367493
28,"country, edm_dance",3,0.3657853715385951,0.838652491569519
29,"country, indie_alt",3,0.529172492267503,0.760705292224884
30,"country, classical",3,0.06538056771486624,0.9820466637611389
31,"country, jazz",3,0.6586360225416398,0.6311239004135132
32,"country, soul",3,0.4587386330530416,0.8091872930526733
33,"country, kpop",3,0.6283361507910434,0.6791277527809143
34,"country, reggae",3,0.33479873923694387,0.8566176295280457
35,"country, blues",3,0.20128921602489586,0.9364407062530518
36,"rnb, latin",3,0.4438907989749202,0.7724867463111877
37,"rnb, rock",3,0.4114744675159454,0.7933333516120911
