,genres,n_genres,loss,accuracy
0,"hiphop, pop, country",3,0.3899277964039066,0.8974359035491943
1,"hiphop, pop, rnb",3,0.7907580818448748,0.6964285969734192
2,"hiphop, pop, latin",3,0.6295974121510404,0.7694174647331238
3,"hiphop, pop, rock",3,0.4772698693089299,0.8348348140716553
4,"hiphop, pop, edm_dance",3,0.46864590605606193,0.8386411666870117
5,"hiphop, pop, indie_alt",3,0.44059738830516215,0.8552631735801697
6,"hiphop, pop, classical",3,0.15047839874851293,0.9375
7,"hiphop, pop, jazz",3,0.3711583221287239,0.8661417365074158
8,"hiphop, pop, soul",3,0.4960208673226206,0.821052610874176
9,"hiphop, pop, kpop",3,0.6702579333071124,0.7456140518188477
10,"hiphop, pop, reggae",3,0.7755242769278627,0.659217894077301
11,"hiphop, pop, blues",3,0.581959519121382,0.7916666865348816
12,"hiphop, country, rnb",3,0.5448616584142049,0.788095235824585
13,"hiphop, country, latin",3,0.6900514521096882,0.7088815569877625
14,"hiphop, country, rock",3,0.821001119672238,0.6143667101860046
15,"hiphop, country, edm_dance",3,0.9992012060743043,0.4992503821849823
16,"hiphop, country, indie_alt",3,0.687916702747345,0.6700000166893005
17,"hiphop, country, classical",3,0.17098434662277048,0.9484848380088806
18,"hiphop, country, jazz",3,0.4788502745495902,0.8644444346427917
19,"hiphop, country, soul",3,0.9646659416238261,0.5777202248573303
20,"hiphop, country, kpop",3,0.5188257401844241,0.8089622855186462
21,"hiphop, country, reggae",3,0.9051267073949179,0.6213333606719971
22,"hiphop, country, blues",3,0.3651603902087492,0.8999999761581421
23,"hiphop, rnb, latin",3,0.7110344127006056,0.6784232258796692
24,"hiphop, rnb, rock",3,0.5977809522347178,0.7468982338905334
25,"hiphop, rnb, edm_dance",3,0.9390464113291883,0.611829936504364
26,"hiphop, rnb, indie_alt",3,0.650994463559778,0.6925133466720581
27,"hiphop, rnb, classical",3,0.23050853766305615,0.9044944047927856
28,"hiphop, rnb, jazz",3,0.5164769718676437,0.7993826866149902
29,"hiphop, rnb, soul",3,0.7279819635244517,0.7230769395828247
30,"hiphop, rnb, kpop",3,1.0992514087049754,0.34563758969306946
31,"hiphop, rnb, reggae",3,0.8519576053064032,0.6385542154312134
32,"hiphop, rnb, blues",3,0.7216470837593079,0.65727698802948
33,"hiphop, latin, rock",3,0.6316403295283793,0.7428088188171387
34,"hiphop, latin, edm_dance",3,0.7672145412518427,0.6771978139877319
35,"hiphop, latin, indie_alt",3,0.5663982381157696,0.7664884328842163
36,"hiphop, latin, classical",3,0.3006466968338962,0.8613037467002869
37,"hiphop, latin, jazz",3,1.0034100287347858,0.5459882616996765
38,"hiphop, latin, soul",3,0.6278469668967384,0.7410714030265808
39,"hiphop, latin, kpop",3,0.799668433980196,0.6275720000267029
40,"hiphop, latin, reggae",3,0.6763749259014697,0.7162471413612366
41,"hiphop, latin, blues",3,0.5345565643988346,0.7880299091339111
42,"hiphop, rock, edm_dance",3,0.7860194475834186,0.5815384387969971
43,"hiphop, rock, indie_alt",3,0.6585895460461484,0.6542443037033081
44,"hiphop, rock, classical",3,1.0099969023308524,0.49766719341278076
45,"hiphop, rock, jazz",3,0.6381764579177178,0.7043879628181458
46,"hiphop, rock, soul",3,0.46381974672560444,0.7777777910232544
47,"hiphop, rock, kpop",3,0.8179782607045748,0.6339066624641418
48,"hiphop, rock, reggae",3,0.9374745125211151,0.5865921974182129
