,song_title,song_id,song_artist,genre,playlist_id,playlist_title,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,All Bad (feat. Lil Uzi Vert),021lWIHJrURZrmvYQ1xcM8,Future,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.0144,https://api.spotify.com/v1/audio-analysis/021lWIHJrURZrmvYQ1xcM8,0.931,207739,0.667,021lWIHJrURZrmvYQ1xcM8,0,6,0.15,-7.043,0,0.318,142.039,4,https://api.spotify.com/v1/tracks/021lWIHJrURZrmvYQ1xcM8,audio_features,spotify:track:021lWIHJrURZrmvYQ1xcM8,0.667
1,THE SCOTTS,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.233,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,0.716,165978,0.537,39Yp9wwQiSRIDOvrVg7mbk,0,0,0.157,-7.648,0,0.0514,129.979,4,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,audio_features,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,0.28
10,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,DaBaby,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.247,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,0.746,181733,0.69,7ytR5pFWmSjzHJIeQkgog4,0,11,0.101,-7.956,1,0.164,89.977,4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,audio_features,spotify:track:7ytR5pFWmSjzHJIeQkgog4,0.497
19,Flex (feat. Juice WRLD),2QqJTIlGKRLJC3onkavYEz,Polo G,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.0538,https://api.spotify.com/v1/audio-analysis/2QqJTIlGKRLJC3onkavYEz,0.752,163902,0.673,2QqJTIlGKRLJC3onkavYEz,0,10,0.133,-5.792,0,0.153,164.009,4,https://api.spotify.com/v1/tracks/2QqJTIlGKRLJC3onkavYEz,audio_features,spotify:track:2QqJTIlGKRLJC3onkavYEz,0.35
20,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,Drake,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.629,https://api.spotify.com/v1/audio-analysis/4wVOKKEHUJxHCFFNUWDn0B,0.735,220488,0.449,4wVOKKEHUJxHCFFNUWDn0B,0,10,0.113,-7.507,1,0.347,122.947,4,https://api.spotify.com/v1/tracks/4wVOKKEHUJxHCFFNUWDn0B,audio_features,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,0.0397
24,Solitaires (feat. Travis Scott),4kfeRwpq5KUaqTkgi4TbDF,Future,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.122,https://api.spotify.com/v1/audio-analysis/4kfeRwpq5KUaqTkgi4TbDF,0.691,205666,0.632,4kfeRwpq5KUaqTkgi4TbDF,0,1,0.0646,-7.598,1,0.0513,169.982,4,https://api.spotify.com/v1/tracks/4kfeRwpq5KUaqTkgi4TbDF,audio_features,spotify:track:4kfeRwpq5KUaqTkgi4TbDF,0.488
25,WUNNA,6HY3arOe4dD8UQ0oVDJ18E,Gunna,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.0136,https://api.spotify.com/v1/audio-analysis/6HY3arOe4dD8UQ0oVDJ18E,0.891,158180,0.495,6HY3arOe4dD8UQ0oVDJ18E,0.00334,0,0.14,-8.642,1,0.114,148.021,4,https://api.spotify.com/v1/tracks/6HY3arOe4dD8UQ0oVDJ18E,audio_features,spotify:track:6HY3arOe4dD8UQ0oVDJ18E,0.235
26,Be Something (feat. Lil Baby),65jw6GhwQW3Db55PxlPEpS,Polo G,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.0232,https://api.spotify.com/v1/audio-analysis/65jw6GhwQW3Db55PxlPEpS,0.829,194118,0.52,65jw6GhwQW3Db55PxlPEpS,0,8,0.134,-10.34,1,0.294,136.103,4,https://api.spotify.com/v1/tracks/65jw6GhwQW3Db55PxlPEpS,audio_features,spotify:track:65jw6GhwQW3Db55PxlPEpS,0.248
27,Racks 2 Skinny,568OIKgeHyGRD3uWR44JbO,Migos,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.00839,https://api.spotify.com/v1/audio-analysis/568OIKgeHyGRD3uWR44JbO,0.814,178025,0.584,568OIKgeHyGRD3uWR44JbO,0,1,0.0646,-5.425,1,0.0819,141.016,4,https://api.spotify.com/v1/tracks/568OIKgeHyGRD3uWR44JbO,audio_features,spotify:track:568OIKgeHyGRD3uWR44JbO,0.405
28,Excitement,3WnTQDd9A3bpBfzCziElU9,Trippie Redd,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.0263,https://api.spotify.com/v1/audio-analysis/3WnTQDd9A3bpBfzCziElU9,0.474,283270,0.681,3WnTQDd9A3bpBfzCziElU9,4.27e-05,4,0.0972,-3.473,0,0.038,121.96,4,https://api.spotify.com/v1/tracks/3WnTQDd9A3bpBfzCziElU9,audio_features,spotify:track:3WnTQDd9A3bpBfzCziElU9,0.0384
37,Walk Em Down (feat. Roddy Ricch),4cSSL3YafYjM3yjgFO1vJg,NLE Choppa,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.268,https://api.spotify.com/v1/audio-analysis/4cSSL3YafYjM3yjgFO1vJg,0.867,173288,0.744,4cSSL3YafYjM3yjgFO1vJg,0,9,0.0713,-5.171,0,0.228,84.005,4,https://api.spotify.com/v1/tracks/4cSSL3YafYjM3yjgFO1vJg,audio_features,spotify:track:4cSSL3YafYjM3yjgFO1vJg,0.645
41,Chirp (feat. Quavo),0RT6sfjay47URb9i7ETFK4,NAV,hiphop,37i9dQZF1DX0XUsuxWHRQd,RapCaviar,0.126,https://api.spotify.com/v1/audio-analysis/0RT6sfjay47URb9i7ETFK4,0.851,170780,0.626,0RT6sfjay47URb9i7ETFK4,0,4,0.257,-5.696,0,0.0766,126.011,4,https://api.spotify.com/v1/tracks/0RT6sfjay47URb9i7ETFK4,audio_features,spotify:track:0RT6sfjay47URb9i7ETFK4,0.249
